german;english;level;example;example_en;rank
der Kollege;colleague|coworker|workmate|fellow worker or member|buddy|mate;B2;Schwarze Augengläser verdecken die Augen meines blinden Kollegen.;Black eyeglasses cover the eyes of my blind colleague.;1553
das Fass;barrel|keg|cask;B2;Fasse den Text in deinen eigenen Worten zusammen.;Summarize the text with your own words.;1554
die Szene;scene|tableau|row|milieu;B2;Das ist wie eine Szene aus einem Film.;That's something like a movie scenario.;1555
der Schein;shine|gleam|flash|semblance|appearance|certificate;B2;Und wie du weißt trügt der Schein oft.;And, as you know, appearances are often deceptive.;1556
die Pflicht;duty;B2;Auf jeden Fall habe ich meine Pflicht erfüllt.;In any case, I have fulfilled my duty.;1557
die Wache;wake|vigil|watch|sentry|guard duty|guard;B2;Ich halte jetzt Wache. Leg dich etwas hin!;I'll stand guard now. Go get some sleep.;1558
neulich;recently;B2;Gab es dort neulich eine Menge kranker Leute?;Have there been a lot of sick people lately?;1559
das Knie;knee;B2;Sie stützte ihre Ellbogen auf ihren Knien auf.;She put her elbows on her knees.;1560
knien;to kneel;B2;Ich kniete nieder, um meine Schnürsenkel zu binden.;I knelt down to tie my shoes.;1561
lauter;sincere|honorable|of integrity|correct|genuine|pure;B2;Der Angeklagten können lautere Absichten nicht abgesprochen werden.;The defendant’s honorable intentions cannot be denied.;1562
spannend;thrilling|exciting|gripping|enthralling|spellbinding|interesting;B2;„Jetzt wird’s spannend!“ sagte er, als ich hereinkam.;"""The plot thickens,"" he said, as I entered.";1563
unschuldig;innocent|blameless;B2;Ich bin davon überzeugt, dass er unschuldig ist.;I am convinced that he is innocent.;1564
weshalb;why|which is why;B2;Tom weiß nicht, weshalb das Treffen verschoben wurde.;Tom doesn't know why the meeting was postponed.;1565
woanders;elsewhere|somewhere else;B2;Bücher sind für Menschen, die gern woanders wären.;Books are for people who wish they were somewhere else.;1566
verhindern;to prevent|to inhibit|to keep from happening;B2;Wir müssen den Atomkrieg mit allen Mitteln verhindern.;We have to avoid the nuclear war by all means.;1567
die Erklärung;explanation|declaration|statement;B2;Ich will keine Entschuldigung. Ich will eine Erklärung.;I don't want an apology. I want an explanation.;1568
der Rom;Rom|Romani;B2;Rom ist nicht an einem Tage erbaut worden.;Rome wasn't built in a day.;1569
klug;intelligent|prudent|wise|smart|clever;B2;Es war klug von dir, sein Angebot anzunehmen.;It was wise of you to accept his offer.;1570
das Verlangen;desire|yearning|longing|request|wish|demand;B2;Tanzen ist der senkrechte Ausdruck eines waagerechten Verlangens.;Dancing is a perpendicular expression of a horizontal desire.;1571
außerhalb;outside|beyond|out of town;B2;außerhalb von der Kirche;outside of the church.;1572
der Opa;grandpa|any elderly man;B2;Wir machen uns Sorgen um Oma und Opa.;We're worried about Grandma and Grandpa.;1573
selbstverständlich;natural|self-evident|granted|naturally;B2;Es ist selbstverständlich, dass Geld nicht alles ist.;It goes without saying that money is not everything.;1574
aufstehen;to get up|to rest|to be open;B2;Es fällt mir schwer, vor 6 Uhr aufzustehen.;It is difficult for me to get up before six.;1575
gebrauchen;to use;B2;Wir können die Entdeckung für unterschiedliche Zwecke gebrauchen.;We can apply the discovery to various uses.;1576
die Milch;milk;B2;Ich habe Käse und ein bisschen Milch gekauft.;I bought some cheese and milk.;1577
kochen;to cook|to prepare food|to cook something liquid|to boil;B2;Ich habe dir ein schönes warmes Abendessen gekocht.;I've cooked you a nice hot dinner.;1578
das Kochen;cooking|cookery;B2;Das zu hören, brachte mein Blut zum Kochen.;It made my blood boil to hear that.;1579
schwach;weak|lacking in strength;B2;Ich mag starken Kaffee lieber als schwachen Kaffee.;I like strong coffee more than weak.;1580
hinein;in;B2;Wer anderen eine Grube gräbt, fällt selbst hinein.;Those who dig a pit for others will be caught in it themselves.;1581
die Grenze;border|limit|frontier|boundary;B2;Die Grenzen des Wissens.;The frontiers of knowledge.;1582
grenzen;to border|to come close to|to almost be;B2;Deutschland grenzt im Westen an Frankreich.;German borders France to the west.;1583
die Braut;bride|a girlfriend|young woman|broad;B2;Am Tage ihrer Hochzeit sind alle Bräute schön.;All brides are beautiful on their wedding days.;1584
brauen;to brew;B2;Dieses Bier wird nach dem Bayerischen Reinheitsgebot gebraut.;This beer is brewed according to the Bavarian Purity Law.;1585
gebraucht;used|secondhand;B2;Ich habe drei Stunden für meine Hausaufgaben gebraucht.;It took me three hours to do my homework.;1586
peinlich;woeful|hurtful|embarrassing|cringeworthy|or otherwise awkward|perverse;B2;Es gab eine peinliche Stille.;There was an awkward silence.;1587
die Aufmerksamkeit;attention|mindfulness|attentiveness|care|courtesy|regard;B2;Kinder weinen oft nur, um Aufmerksamkeit zu bekommen.;Children often cry just to attract attention.;1588
die Form;shape|form;B2;Ich habe Orchideen in verschiedenen Formen und Farben.;I have orchids of different shapes and colors.;1589
formen;to form|to shape;B2;Du hast den Ton zu einer Vase geformt.;You shaped the clay into a vase.;1590
umsonst;free of charge|gratis|in vain|without success|for nothing;B2;Er hat schließlich nicht umsonst im Ausland studiert.;After all, he didn't study abroad for nothing.;1591
kennenlernen;to get to know|to become acquainted with|to befriend|to meet|to introduce oneself to|to present;B2;Ich liebe sie schon, seitdem ich sie kennenlernte.;I've loved her ever since I met her.;1592
überlebt;outdated;B2;Er war der Einzige, der das Feuer überlebte.;He was the only person to survive the fire.;1593
nirgendwo;nowhere;B2;Tom sagte, er wolle heute nirgendwo mehr hin.;Tom said he wouldn't be going anywhere else today.;1594
die Meile;mile|promenade|boulevard;B2;Es sind nur zwei Meilen bis zum Dorf.;It's only two miles to the village.;1595
der Mond;moon;B2;Ganymed ist der größte Mond des Sonnensystems.;Ganymede is the biggest moon of the Solar System.;1596
ergeben;to yield|to produce|to surrender|to arise|to result|to turn out;B2;Zwei Liter Teig ergeben laut dem Rezept 12 Muffins.;According to the recipe, two litres of batter makes 12 muffins.;1597
das Datum;date|datum;B2;Die Interpretation dieser Daten ist jedoch sehr umstritten.;The interpretation of this data, however, is very much in dispute.;1598
das Daten;data|plural of Datum;B2;Allerdings ist die Interpretation dieser Daten äußerst umstritten.;The interpretation of this data, however, is very much in dispute.;1599
merken;to notice|to sense|to be able to tell|to memorize|to remember|to learn;B2;nichts von etwas merken;to not notice any hints of something;1600
die Schande;disgrace|infamy|dishonour;B2;Ich denke, der Tod ist der Schande vorzuziehen.;I think death is preferable to shame.;1601
der Sieg;victory;B2;Bald gehört uns der Sieg.;Soon victory will be ours.;1602
siegen;to be victorious|to win;B2;Tom war sehr zufrieden, als seine Mannschaft siegte.;Tom was very happy when his team won.;1603
satt;not hungry|satiated|full|done|fed up|sick of;B2;Willst du noch was? − Nein danke, ich bin satt.;Do you want some more? – No thanks, I'm done.;1604
der Blödsinn;rubbish|nonsense|bunkum|bunk;B2;Was für ein Blödsinn ist das?;What sort of nonsense is this?;1605
das Pfund;a metric pound|500 grams|half a kilogram;B2;Circa zwei Millionen Pfund Mehl werden jährlich exportiert.;About two million pounds of flour are exported annually.;1606
handeln;to act|to take action|to negotiate|to bargain|to haggle|to trade in;B2;Jeder ist dafür verantwortlich, wie er handelt.;Everybody is responsible for the way they act.;1607
warm;warm|mildly hot|keeping the wearer warm|including heating costs|water|and fees;B2;Ich zahle 800 € warm für meine Wohnung.;I pay €800 for my apartment, including utilities.;1608
die Rate;rate|installment|instalment;B2;Sie hätten Ihren Anwalt zu Rate ziehen sollen.;You should have consulted your lawyer.;1609
die Übersetzung;translation|gear ratio|mechanical advantage;B2;Nach meinem Wissen ist das die einzige Übersetzung.;To the best of my knowledge, this is the only translation available.;1610
die Kunst;art|artworks|works of art|craft|skill|ability;B2;die sieben freien Künste;the seven liberal arts;1611
der Kapitän;captain;B2;Kapitäne tragen die Verantwortung für Schiff und Besatzung.;Captains have responsibility for ship and crew.;1612
der Einsatz;something inserted|inset|inlay|compartment|insertion|use;B2;Diesen Einsatz kann man herausnehmen.;This inlay can be taken out.;1613
schweigen;to be silent|to keep quiet|to stop talking|to shut up;B2;Wer schweigt, stimmt zu!;Who is silent agrees!;1614
das Schweigen;silence;B2;Sein eisiges Schweigen umgab ihn wie eine Mauer.;His icy silence was like a wall surrounding him.;1615
die Krankheit;sickness|illness|disease;B2;Viele Leute glauben, dass Akupunktur Krankheiten heilen kann.;Many people believe that acupuncture can cure diseases.;1616
der Schatten;shade|shadow;B2;Ich werde den Schatten dieses Baumes nicht verkaufen.;I won't sell this tree shade.;1617
die Tatsache;fact;B2;Sie ignorierte die Tatsache, dass er krank war.;She ignored the fact that he was ill.;1618
der Stock;stick|staff|floor|storey|level|stock;B2;Schau mal, ich habe einen Stock gefunden, der wie ein Schwert aussieht.;Check it out, I found a stick that looks like a sword.;1619
stocken;to stop|to stagnate|to have no progress|to take damp damage;B2;Als ich dies sah, stockte mir der Atem.;When I saw it, it took my breath away.;1620
hingehen;to go|to pass;B2;Du musst woanders hingehen, um das zu finden.;You'll have to go elsewhere to find that.;1621
verboten;forbidden|prohibited|banned;B2;Es ist verboten, Zigaretten an Minderjährige zu verkaufen.;It is illegal to sell cigarettes to a minor.;1622
verbieten;to forbid|to prohibit;B2;Ich verbiete Ihnen, in diesem Ton mit meiner Frau zu sprechen.;I forbid you to talk in that tone of voice with my wife.;1623
das Verbot;prohibition|ban;B2;Der Minister versuchte, ein gesetzliches Verbot falscher Werbung einzuführen.;The minister attempted to implement a prohibition on false advertising.;1624
der Anzug;suit|outfit|approach|gathering|approaching|advancing;B2;Der Anzug steht dir gut.;The suit looks great on you.;1625
der Freitag;Friday;B2;Freitags hat sie immer sehr viel zu tun.;Friday is the day when she is very busy.;1626
verfluchen;to curse;B2;Die Hexe verfluchte ihn.;The witch cursed him.;1627
verflucht;cursed|damn|damned;B2;Warum machst du nie diese verfluchte Tür zu?;Why don't you ever close that bloody door?;1628
dunkel;dark|deep|vague|faint;B2;Im Winter wird es früher dunkel.;In the winter, it gets dark earlier.;1629
das Dunkel;dark|darkness;B2;Plötzlich trat ein Räuber aus dem Dunkel hervor.;Suddenly a robber stepped out of the darkness.;1630
dunkeln;to darken;B2;Kaum fing es an zu dunkeln, als […];It had just started to get dark, when […];1631
klopfen;to knock|to rap|to throb|to beat quickly or audibly;B2;an die Tür klopfen;to knock on the door;1632
enttäuschen;to disappoint;B2;Als sie die Nachricht hörte, seufzte sie enttäuscht.;When she heard the news, she sighed disappointedly.;1633
enttäuscht;disappointed;B2;Er war enttäuscht, nicht eingeladen worden zu sein.;He was disappointed at not being invited.;1634
spuren;to leave a trace;B2;So wird es jedem ergehen, der nicht spurt.;That's what will happen to anyone who doesn't obey.;1635
der Dreck;dirt|filth|excrement|faeces;B2;Es hat sich Dreck unter deinen Fingernägeln angesammelt.;Dirt has built up under your fingernails.;1636
die Mühe;effort|difficulty;B2;Vergiss es. Es ist die Mühe nicht wert.;Forget it. It's not worth it.;1637
mühen;to labor|to toil;B2;Ich mühe mich nur, ein guter Nachbar zu sein.;I'm just trying to be neighborly.;1638
kontrollieren;to check|to control;B2;Kannst du mal kontrollieren, ob ich alles richtig gemacht habe?;Can you check whether I've done everything correctly?;1639
der Knochen;bone|backbreaking|demanding;B2;Er ist ein Japaner bis auf die Knochen.;He is Japanese to the bone.;1640
der Schick;chic;B2;Schicke mir eine Nachricht, sobald du angekommen bist.;Send me a message as soon as you get there.;1641
trennen;to separate|to sever|to part|to disunite|to uncouple|to segregate;B2;Das Japanische Meer trennt Japan vom asiatischen Kontinent.;The Japan Sea separates Japan from the Asian Continent.;1642
getrennt;separate|apart|split|separately;B2;Wir gehen jetzt getrennte Wege.;We're going our separate ways now.;1643
das Programm;program|schedule|programming;B2;Tom lernt gerade, Programme in JavaScript zu schreiben.;Tom is learning to write programs in JavaScript.;1644
das Grab;grave|tomb;B2;Auf das Grab wurde eine schwere Steinplatte gelegt.;A heavy stone slab was lowered over the grave.;1645
graben;to dig|to burrow;B2;Tom, du gräbst deine Nägel in meinen Arm.;Tom, you're digging your nails into my arm.;1646
ebenso;equally|as much|likewise;B2;Er schrieb drei Bücher in ebenso vielen Jahren.;He wrote three books in as many years.;1647
der Nachbar;neighbour;B2;Mein Nachbar pflanzt neues Gras in seinem Garten.;My neighbor is planting new grass in his yard.;1648
bieten;to offer|to present|to bid|to arise|to occur;B2;Diese Lösung kann natürlich keine absolute Sicherheit bieten.;Of course, this solution doesn't offer absolute certainty.;1649
freundlich;friendly|benign|nice|pleasant;B2;Sie sind sehr freundlich.;You/they are very nice.;1650
der Rauch;smoke|fume;B2;Ich konnte wegen des Rauchs nicht mehr atmen.;I was unable to breathe because of the smoke.;1651
rauchen;to smoke|to give off smoke;B2;Das abgebrannte Haus raucht noch immer.;The burned-down house is still smoking.;1652
dennoch;anyhow|however;B2;Sie hat einen schlechten Tag hinter sich, dennoch lächelt sie.;She's had a bad day, but she's nevertheless smiling.;1653
dick;thick|fat|swollen;B2;Wer würde wohl ein so dickes Buch lesen?;Who's gonna read such a thick book?;1654
der Stuhl;a chair|a see|feces|stool;B2;Ich habe die ganze Zeit auf meinem Stuhl gesessen!;I've been sitting on my chair the whole time!;1655
vergeben;to forgive|to assign|to allocate|to give|to give or set|to award;B2;Kannst du mir vergeben?;Can you forgive me?;1656
ausgehen;to go out|to run out|to fall out|to work|to work out|to be possible;B2;Ich gehe nicht in die Disko, weil ich tanzen will, sondern weil ich ausgehen will.;I am not going to the nightclub because I want to dance, but because I want to go out.;1657
der Trotz;defiance;B2;Trotz des starken Regens entschied er sich, rauszugehen.;In spite of the heavy rain, he decided to go out.;1658
trotzen;to defy|to brave;B2;der öffentlichen Meinung trotzen;to defy public opinion (eg by holding an unpopular opinion);1659
die Toilette;toilet;B2;Gibt es in diesem Gebäude eine öffentliche Toilette?;Is there a public toilet in this building?;1660
annehmen;to assume|to suppose|to take on|to take care of|to reach|to attain;B2;Mein Fehler. Ich nahm an, sie sei ledig.;My mistake. I assumed she was single.;1661
die Hexe;witch|sorceress|hag;B2;Die Hexe warf die Kröte in ihren Kessel.;The witch threw the toad into her cauldron.;1662
hexen;to perform witchcraft|to cast a spell/spells|to work miracles;B2;Hexen können auf einem Besenstiel fliegen.;Witches can fly on broomsticks.;1663
herzlich;warm|warmhearted|friendly|affectionate|cordial|hearty;B2;Grüße bitte deine Eltern ganz herzlich von mir.;Please give my best regards to your parents.;1664
erwachsen;to grow up|to grow|to spring up|to spring from|to proceed from|to accrue;B2;Was möchtest du werden, wenn du erwachsen bist?;What will you do when you grow up?;1665
die Pistole;pistol|gun;B2;Der Einbrecher bedrohte das Opfer mit seiner Pistole.;The burglar pointed his gun at the victim.;1666
die Aussage;proposition|statement|claim;B2;Es war kein Fünkchen Wahrheit in dieser Aussage.;There wasn't a scrap of truth in the statement.;1667
aussagen;to state|to testify;B2;Tom scheint nicht gegen Maria aussagen zu wollen.;Tom seems to be unwilling to testify against Mary.;1668
genießen;to enjoy|to relish|to savor|to have|to eat|to drink;B2;Entspann dich doch einfach und genieß die Zeit!;Why don't you just relax and have fun?;1669
eifersüchtig;jealous;B2;Tom kann nichts dagegen tun, eifersüchtig zu sein.;Tom can't help but be jealous.;1670
das Leo;base;B2;Leo fing zu brüllen an, als er zwei Jahre alt war.;Leo started to roar when he was two years old.;1671
teuer;expensive|dear;B2;Dieses Auto ist mir zu teuer.;This car is too expensive for me.;1672
der Zahn;tooth|fang|tusk|cog|tine;B2;Ich glaube, ich habe ein Loch im Zahn.;I think I have a cavity.;1673
beobachten;to watch|to observe;B2;Wir sind die Schildkröten am Strand beobachten gegangen.;We went to see turtles on the beach.;1674
wählen;to choose|to select|to dial|to vote|to vote for;B2;Ich wähle diese Hose da, die mit der Bügelfalte.;I'm choosing these pants here, the ones with the crease.;1675
das Theater;theater|theatrical company|troupe|audience;B2;Möchtest du ins Kino oder ins Theater gehen?;Do you want to go to the movies or to the theater?;1676
regen;to move|to stir|to be active doing something|to occupying oneself|to budge|to become noticeable;B2;Er regte seinen Finger so weit wie möglich.;He moved his finger as far as possible.;1677
der Regen;rain;B2;Wegen Regens konnten wir draußen kein Tennis spielen.;We couldn't play tennis outside because of the rain.;1678
rege;brisk|lively;B2;Regen macht Leute, die gerne lesen, nicht depressiv.;Rain doesn't depress people who like reading.;1679
zulassen;to allow|to license|to admit;B2;Warum ist es nicht zugelassen, hier zu schwimmen?;Why can't you swim here?;1680
schnappen;to snap|to breathe|to gasp|to catch|to seize|to nab;B2;er schnappte nach Luft;He was gasping (for air).;1681
komplett;complete|entire;B2;Johns Unternehmen hat sich als kompletter Fehlschlag erwiesen.;John's business has turned out to be a complete failure.;1682
die Panik;panic;B2;Es herrschte eine weitverbreitete Panik nach dem Erdbeben.;There was widespread panic after the earthquake.;1683
der Flughafen;airport;B2;Wo befinden sich die größten Flughäfen der Welt?;Where are the largest airports in the world?;1684
bewusst;conscious|aware|intentional;B2;Ja, ich war mir dieser Tatsache bewusst.;Yes, I was aware of that fact.;1685
voraus;in front|ahead;B2;Der Blitz geht dem Schall des Donners voraus.;The flash of lightning precedes the sound of thunder.;1686
begleiten;to accompany|to conduct|to escort;B2;Ich glaube, Maria möchte, dass ich sie begleite.;I think Mary wants me to go with her.;1687
erleben;to experience|to see|to live to see|to witness|to undergo;B2;Wir erleben gerade einige Turbulenzen.;We are experiencing some turbulence right now.;1688
weiterhin;still|also|going further|farther|further;B2;Wir setzen uns auch weiterhin dafür ein, den fairen Handel auf lokaler Ebene zu fördern.;We remain committed to promoting fair trade locally.;1689
konzentrieren;to concentrate|to focus;B2;In den nächsten Monaten konzentriere ich mich auf mein neues Buch.;In the next few months I will focus on my new book.;1690
angehen;to concern|to regard|to tackle|to start|to enter into|to get to work;B2;Was Ihre erste Frage angeht, so ist das Gegenstand laufender Forschung.;Regarding your first question: this is subject to ongoing research.;1691
der Star;starling|cataract|celebrity|star;B2;Sie hat aus mir einen Star gemacht.;She made me a star.;1692
übersetzen;to translate|to interpret|to compile|to cross|to cross over|to traverse;B2;Sie übersetzt Lyrik ins Deutsche.;She translates poetry into German.;1693
der Alkohol;alcohol|ethanol|liquor;B2;Hier wird kein Alkohol ausgeschenkt.;They don't serve alcohol here.;1694
übersetzt;inflated|excessive;B2;Er hat Homer vom Griechischen ins Englische übersetzt.;He translated Homer from the Greek into English.;1695
der Verrückter;crazy person|lunatic|maniac;B2;Ich bin nicht verrückt. Der Verrückte bist du.;I'm not crazy. You're the one who's crazy.;1696
weitermachen;to go on|to keep going|to continue to do something;B2;Hast du genug Informationen, um weitermachen zu können?;Do you have enough information to go on?;1697
die Post;mail|post|postal service|post office;B2;Hier ist deine Post.;Here’s your mail.;1698
posen;to pose;B2;Postet keine Trunkenheitsfotos auf Facebook oder Twitter.;Don't post drunk pictures on Facebook or Twitter.;1699
posten;to post;B2;Stefan hat ein neues Urlaubsfoto auf Facebook gepostet.;Stefan has posted a new holiday pic on Facebook.;1700
die Botschaft;message|news|tidings|embassy;B2;Alle Länder haben ihre Botschaft in der Hauptstadt.;All countries have their embassies in the capital.;1701
mitgenommen;beleaguered|battered|weary|upsetting|taking a toll;B2;Diese Nachricht hat ihn schwer mitgenommen.;This news was very upsetting for him.;1702
aufregen;to excite|to upset|to get upset;B2;Vergiss nicht, dass Oma sich nicht aufregen darf!;Don't forget that Nan mustn't get upset!;1703
aufgeregt;excited|angry;B2;Wegen der Prüfung ist er sehr aufgeregt.;He's very excited about the exam.;1704
das Fehlen;absence|dearth|absenteeism|default;B2;Wenige Leuten bemerkten ihr Fehlen auf der Party.;Few people noticed her absence from the party.;1705
der Fehl;fault|flaw|failure;B2;Es wurden Toms Kenntnisse oder vielmehr deren Fehlen diskutiert.;They discussed Tom's skills, or lack thereof.;1706
der Selbstmord;suicide;B2;Kann es wahr sein, dass sie Selbstmord verübte?;Can it be true that she committed suicide?;1707
der Dummer;fool;B2;Nur der Dumme muss alle Erfahrungen selber machen.;Only an idiot has to experience everything for themselves.;1708
zurückkommen;to return;B2;Ich werde es ihm ausrichten, wenn er zurückkommt.;I will tell him so when he comes back.;1709
die Magie;magic;B2;So etwas wie schwarze Magie gibt es nicht.;There's no such thing as black magic.;1710
untersuchen;to examine|to investigate;B2;Er untersuchte die Ersatzteile eins nach dem anderen.;He examined the spare parts one after another.;1711
die Flucht;escape|flight|line|alignment|flock of birds;B2;Die Flucht war nicht weniger als ein Wunder.;The escape was nothing less than a miracle.;1712
fluchen;to swear|to curse;B2;Er weiß, wie man auf Chinesisch flucht.;He knows how to curse in Chinese.;1713
betreffen;to concern;B2;Was die Regierung betrifft, so leistet sie schlechte Arbeit.;As for the government, they are doing a poor job.;1714
das Gegenteil;opposite;B2;Das Gegenteil tritt ein, wenn wir uns wertend äußern.;The opposite happens when we express ourselves in a judgmental way.;1715
scharf;sharp|able to cut|tight|discerning|severe|harsh;B2;Wurst mit scharfem deutschem Senf ist das Allerbeste.;Sausage with hot German mustard is the best.;1716
das Projekt;project;B2;Ein solch großes Projekt sollte professionell betreut werden.;Such a big project should be managed professionally.;1717
der Trottel;idiot|fool|boob|etc;B2;Er ist nur ein alter Trottel.;He's just an old duffer.;1718
immerhin;after all|at least|anyway|on the bright side|a minimum of|anyhow;B2;Wir haben das Spiel gewonnen. Immerhin haben wir jeden Tag trainiert.;We won the game. After all, we did practice every day.;1719
