der Übermut;high spirits|overconfidence|recklessness;C2;Im Übermut sprang er ins kalte Wasser.;In a fit of high spirits he jumped into the cold water.
die Genugtuung;satisfaction|gratification;C2;Mit Genugtuung nahm sie das Urteil zur Kenntnis.;She noted the verdict with satisfaction.
die Missgunst;envy|resentment|jealousy;C2;Sein Erfolg erregte Missgunst.;His success aroused envy.
die Eitelkeit;vanity;C1;Seine Eitelkeit ist kaum zu ertragen.;His vanity is almost unbearable.
die Ehrfurcht;awe|reverence;C2;Voller Ehrfurcht betraten sie den Dom.;Full of awe, they entered the cathedral.
die Sehnsucht;longing|yearning;B2;Sie hat Sehnsucht nach ihrer Heimat.;She longs for her home country.
das Fernweh;wanderlust|longing for faraway places;C1;Im Winter packt mich das Fernweh.;In winter I get wanderlust.
die Wehmut;melancholy|wistfulness|nostalgia;C2;Mit Wehmut denkt er an seine Kindheit.;He thinks back on his childhood with wistfulness.
der Weltschmerz;world-weariness|weltschmerz;C2;Der junge Dichter litt an Weltschmerz.;The young poet suffered from world-weariness.
der Aufwand;effort|expense|expenditure;C1;Der Aufwand hat sich gelohnt.;The effort was worth it.
der Ertrag;yield|return|profit;C1;Der Ertrag der Ernte war gering.;The yield of the harvest was low.
die Kündigung;termination|notice|dismissal|resignation;B2;Er hat seine Kündigung eingereicht.;He handed in his resignation.
der Werdegang;career|background|development;C1;Erzählen Sie uns von Ihrem beruflichen Werdegang.;Tell us about your professional background.
die Ausschreibung;tender|call for tenders|job advertisement;C2;Die Stelle wurde öffentlich ausgeschrieben – die Ausschreibung läuft bis Mai.;The position was advertised publicly – applications are open until May.
die Vereinbarung;agreement|arrangement;B2;Wir haben eine mündliche Vereinbarung getroffen.;We made a verbal agreement.
das Gutachten;expert opinion|expert report|assessment;C1;Das Gericht gab ein Gutachten in Auftrag.;The court commissioned an expert report.
der Gesetzgeber;legislator|legislature;C1;Hier ist der Gesetzgeber gefordert.;This is a matter for the legislature.
die Verordnung;regulation|ordinance|decree;C1;Die neue Verordnung tritt im Januar in Kraft.;The new regulation comes into force in January.
die Rechtsprechung;case law|jurisprudence|administration of justice;C2;Die Rechtsprechung dazu ist uneinheitlich.;Case law on this is inconsistent.
der Beschluss;decision|resolution;C1;Der Beschluss wurde einstimmig gefasst.;The decision was taken unanimously.
die Wahlbeteiligung;voter turnout|turnout;C1;Die Wahlbeteiligung lag bei 76 Prozent.;Voter turnout was 76 percent.
der Rechtsstaat;constitutional state|state under the rule of law|rule of law;C2;Im Rechtsstaat gilt die Unschuldsvermutung.;Under the rule of law, the presumption of innocence applies.
die Gewaltenteilung;separation of powers;C2;Die Gewaltenteilung schützt vor Machtmissbrauch.;The separation of powers protects against abuse of power.
das Grundgesetz;constitution|basic law;C1;Die Würde des Menschen ist laut Grundgesetz unantastbar.;According to the Basic Law, human dignity is inviolable.
die Konjunktur;economic situation|economy|business cycle;C2;Die Konjunktur schwächelt.;The economy is weakening.
der Aufschwung;upswing|upturn|recovery|boom;C1;Die Wirtschaft erlebt einen Aufschwung.;The economy is experiencing an upswing.
die Staatsverschuldung;national debt|public debt|government debt;C1;Die Staatsverschuldung steigt weiter.;National debt continues to rise.
der Wohlstand;prosperity|wealth|affluence;C1;Der Wohlstand ist ungleich verteilt.;Prosperity is unequally distributed.
die Zuwanderung;immigration;C1;Zuwanderung ist ein umstrittenes Thema.;Immigration is a controversial topic.
die Eingliederung;integration|incorporation|reintegration;C2;Die Eingliederung in den Arbeitsmarkt gelang.;Integration into the labour market was successful.
die Vielfalt;diversity|variety;B2;Die Vielfalt der Arten ist bedroht.;The diversity of species is under threat.
das Vorurteil;prejudice|preconception;B2;Man sollte Vorurteile abbauen.;One should break down prejudices.
die Benachteiligung;discrimination|disadvantage;C1;Die Benachteiligung von Frauen ist verboten.;Discrimination against women is prohibited.
die Gleichberechtigung;equal rights|equality;C1;Gleichberechtigung ist im Grundgesetz verankert.;Equal rights are enshrined in the Basic Law.
die Erkenntnis;insight|realization|finding|knowledge;C1;Neue Erkenntnisse widerlegen die alte Theorie.;New findings disprove the old theory.
die Annahme;assumption|acceptance;C1;Ich ging von der Annahme aus, dass er kommt.;I was working on the assumption that he would come.
der Ansatz;approach|starting point;C1;Das ist ein vielversprechender Ansatz.;That is a promising approach.
der Befund;finding|findings|result;C2;Der ärztliche Befund war unauffällig.;The medical findings were unremarkable.
die Schlussfolgerung;conclusion|inference;C1;Welche Schlussfolgerung ziehen Sie daraus?;What conclusion do you draw from this?
der Widerspruch;contradiction|objection;C1;Das steht im Widerspruch zu Ihrer Aussage.;That contradicts your statement.
die Begründung;justification|reasoning|explanation|grounds;C1;Die Begründung des Urteils ist lang.;The reasoning behind the verdict is long.
der Einwand;objection;C1;Haben Sie Einwände?;Do you have any objections?
die Auffassung;view|opinion|conception;C1;Ich bin der Auffassung, dass das falsch ist.;I am of the opinion that this is wrong.
der Standpunkt;point of view|standpoint|position;B2;Von meinem Standpunkt aus ist das logisch.;From my point of view that is logical.
das Ausmaß;extent|scale|magnitude;C1;Das Ausmaß der Schäden ist noch unklar.;The extent of the damage is still unclear.
der Verlauf;course|progress;C1;Im Verlauf des Gesprächs wurde er ruhiger.;In the course of the conversation he calmed down.
der Zusammenhang;connection|context|correlation;B2;In diesem Zusammenhang möchte ich betonen...;In this context I would like to emphasize...
die Ursache;cause|reason;B2;Die Ursache des Brandes ist unbekannt.;The cause of the fire is unknown.
die Maßnahme;measure|step;B2;Die Regierung ergreift neue Maßnahmen.;The government is taking new measures.
der Rückschlag;setback;C1;Das Projekt erlitt einen Rückschlag.;The project suffered a setback.
der Durchbruch;breakthrough;C1;Den Forschern gelang ein Durchbruch.;The researchers achieved a breakthrough.
der Meilenstein;milestone;C1;Das ist ein Meilenstein der Medizin.;This is a milestone in medicine.
die Erderwärmung;global warming;C1;Die Erderwärmung schreitet voran.;Global warming is progressing.
der Ausstoß;emissions|output;C2;Der Ausstoß von CO2 soll sinken.;CO2 emissions are to be reduced.
die Artenvielfalt;biodiversity;C1;Die Artenvielfalt nimmt dramatisch ab.;Biodiversity is declining dramatically.
der Verzicht;renunciation|abstention|doing without;C1;Der Verzicht auf Fleisch fällt ihm schwer.;He finds it hard to give up meat.
die Entsorgung;disposal|waste disposal;C1;Die Entsorgung von Atommüll ist ungelöst.;The disposal of nuclear waste remains unsolved.
die Rücksicht;consideration|regard;C1;Nimm bitte Rücksicht auf die Nachbarn.;Please be considerate of the neighbours.
die Fahrlässigkeit;negligence;C2;Grobe Fahrlässigkeit wird bestraft.;Gross negligence is punished.
der Vorsatz;intent|intention|resolution;C2;Er handelte mit Vorsatz.;He acted with intent.
die Kluft;gap|gulf|chasm;C2;Die Kluft zwischen Arm und Reich wächst.;The gap between rich and poor is growing.
der Spagat;balancing act|the splits;C2;Der Spagat zwischen Beruf und Familie ist schwer.;Balancing work and family is hard.
die Muße;leisure|idleness;C2;Ihm fehlt die Muße zum Lesen.;He lacks the leisure to read.
die Wucht;force|impact|power;C2;Mit voller Wucht prallte das Auto gegen die Wand.;The car crashed into the wall with full force.
die Einbuße;loss;C2;Die Firma musste hohe Einbußen hinnehmen.;The company had to accept heavy losses.
die Zäsur;turning point|caesura|break;C2;Der Mauerfall war eine historische Zäsur.;The fall of the Wall was a historic turning point.
die Floskel;empty phrase|cliché|platitude|stock phrase;C2;Seine Rede bestand nur aus Floskeln.;His speech consisted only of empty phrases.
das Kalkül;calculation|strategy;C2;Dahinter steckt politisches Kalkül.;There is political calculation behind it.
die Ambivalenz;ambivalence;C2;Die Ambivalenz ihrer Gefühle verwirrte sie.;The ambivalence of her feelings confused her.
der Unmut;displeasure|annoyance|resentment;C2;Die Entscheidung stieß auf Unmut.;The decision met with displeasure.
die Häme;malice|gloating|spite;C2;Nach seinem Scheitern erntete er viel Häme.;After his failure he was met with a lot of gloating.
die Obrigkeit;authorities|the powers that be;C2;Er hatte nie Respekt vor der Obrigkeit.;He never had any respect for authority.
die Bürde;burden;C2;Die Verantwortung ist eine schwere Bürde.;The responsibility is a heavy burden.
der Makel;flaw|blemish|stigma;C2;Die Niederlage bleibt ein Makel in seiner Karriere.;The defeat remains a blemish on his career.
die Tücke;malice|trickiness|pitfall|treachery;C2;Die Tücke liegt im Detail.;The devil is in the detail.
die Arglist;malice|deceit|guile;C2;Man warf ihm arglistige Täuschung vor.;He was accused of fraudulent misrepresentation.
der Schlendrian;sloppiness|slackness|inefficiency;C2;In der Behörde herrscht der alte Schlendrian.;The same old sloppiness prevails at the authority.
das Kauderwelsch;gibberish|jargon|double dutch;C2;Das Fachchinesisch klingt für mich wie Kauderwelsch.;The technical jargon sounds like gibberish to me.
der Kahlschlag;clear-cutting|drastic cuts;C2;Die Gewerkschaft protestierte gegen den sozialen Kahlschlag.;The trade union protested against the drastic social cuts.
die Bredouille;predicament|fix|jam|tight spot;C2;Jetzt sitzen wir ganz schön in der Bredouille.;Now we're in a real fix.
das Sammelsurium;hodgepodge|jumble|mishmash;C2;Der Keller ist ein Sammelsurium alter Möbel.;The cellar is a jumble of old furniture.
die Lappalie;trifle|triviality|petty matter;C2;Wegen einer Lappalie stritten sie stundenlang.;They argued for hours over a trifle.
die Vetternwirtschaft;nepotism|cronyism;C2;Der Stadtverwaltung wird Vetternwirtschaft vorgeworfen.;The city administration is accused of nepotism.
der Kuhhandel;horse-trading|horse trading;C2;Das Gesetz war das Ergebnis eines politischen Kuhhandels.;The law was the result of political horse-trading.
die Schlamperei;sloppiness|slovenliness;C2;So eine Schlamperei!;What sloppiness!
das Zugeständnis;concession;C1;Beide Seiten mussten Zugeständnisse machen.;Both sides had to make concessions.
die Zumutung;imposition|unreasonable demand|outrage;C2;Diese Wartezeit ist eine Zumutung.;This waiting time is unacceptable.
das Hirngespinst;figment of the imagination|fantasy|pipe dream;C2;Das ist doch nur ein Hirngespinst.;That's just a figment of the imagination.
der Eigenbrötler;loner|oddball|recluse;C2;Der Nachbar gilt als Eigenbrötler.;The neighbour is considered a loner.
der Querdenker;lateral thinker|maverick;C2;Die Firma sucht kreative Querdenker.;The company is looking for creative lateral thinkers.
der Spießer;philistine|square|petty bourgeois;C2;Er ist ein richtiger Spießer geworden.;He has become a real square.
der Drahtzieher;mastermind|wire-puller|string-puller;C2;Die Polizei sucht die Drahtzieher des Anschlags.;The police are searching for the masterminds of the attack.
der Sündenbock;scapegoat;C1;Er wurde zum Sündenbock gemacht.;He was made the scapegoat.
der Wendepunkt;turning point;C1;Das war ein Wendepunkt in meinem Leben.;That was a turning point in my life.
der Grundsatz;principle;C1;Aus Grundsatz lüge ich nicht.;On principle, I don't lie.
die Bewährung;probation|proving oneself;C2;Er wurde zu zwei Jahren auf Bewährung verurteilt.;He was given a two-year suspended sentence (on probation).
die Haftung;liability;C1;Für Garderobe wird keine Haftung übernommen.;No liability is accepted for the cloakroom.
der Vorbehalt;reservation|proviso;C1;Ich stimme unter Vorbehalt zu.;I agree with reservations.
die Anwandlung;fit|whim|impulse;C2;In einer Anwandlung von Großzügigkeit lud er alle ein.;In a fit of generosity he invited everyone.
die Anregung;suggestion|stimulus|impetus;C1;Vielen Dank für Ihre Anregungen.;Thank you very much for your suggestions.
die Verheißung;promise;C2;Die Verheißung von Reichtum lockte viele an.;The promise of wealth attracted many.
die Besonnenheit;prudence|level-headedness|circumspection;C2;Sie reagierte mit großer Besonnenheit.;She reacted with great level-headedness.
die Unverfrorenheit;impudence|effrontery|audacity;C2;Was für eine Unverfrorenheit!;What impudence!
das Dilemma;dilemma;C1;Ich stecke in einem Dilemma.;I'm in a dilemma.
die Stellungnahme;statement|opinion|comment;C1;Das Ministerium gab eine Stellungnahme ab.;The ministry issued a statement.
der Anspruch;claim|entitlement|standard|demand;C1;Sie haben Anspruch auf Urlaub.;You are entitled to holidays.
die Rechenschaft;account|accountability;C2;Er muss Rechenschaft ablegen.;He has to give an account of himself.
beeinträchtigen;to impair|to affect adversely|to interfere with;C1;Lärm beeinträchtigt die Konzentration.;Noise impairs concentration.
gewährleisten;to guarantee|to ensure;C1;Die Sicherheit muss gewährleistet sein.;Safety must be guaranteed.
berücksichtigen;to take into account|to consider;C1;Bitte berücksichtigen Sie auch die Kosten.;Please take the costs into account too.
bewältigen;to cope with|to manage|to overcome|to master;C1;Sie hat die Krise gut bewältigt.;She coped well with the crisis.
erörtern;to discuss|to debate;C2;Erörtern Sie die Vor- und Nachteile.;Discuss the advantages and disadvantages.
veranschaulichen;to illustrate;C1;Ein Diagramm veranschaulicht die Entwicklung.;A diagram illustrates the development.
verdeutlichen;to clarify|to make clear|to illustrate;C1;Das Beispiel verdeutlicht das Problem.;The example makes the problem clear.
beanspruchen;to claim|to demand|to take up;C1;Die Arbeit beansprucht viel Zeit.;The work takes up a lot of time.
befürworten;to support|to advocate|to endorse;C1;Die Mehrheit befürwortet den Vorschlag.;The majority supports the proposal.
bemängeln;to criticize|to find fault with;C2;Die Prüfer bemängelten die Methodik.;The examiners criticized the methodology.
beanstanden;to complain about|to object to;C2;Der Kunde beanstandete die Lieferung.;The customer complained about the delivery.
anprangern;to denounce|to pillory|to condemn;C2;Die NGO prangert die Missstände an.;The NGO denounces the abuses.
verharmlosen;to trivialize|to play down|to downplay;C2;Man darf die Gefahr nicht verharmlosen.;The danger must not be played down.
beschönigen;to gloss over|to whitewash|to sugarcoat;C2;Ich will nichts beschönigen.;I don't want to gloss over anything.
vernachlässigen;to neglect;C1;Er vernachlässigt seine Freunde.;He neglects his friends.
verschweigen;to conceal|to keep quiet about|to withhold;C1;Sie hat mir die Wahrheit verschwiegen.;She kept the truth from me.
vortäuschen;to feign|to pretend|to fake;C2;Er täuschte eine Krankheit vor.;He faked an illness.
vereiteln;to thwart|to foil;C2;Die Polizei vereitelte den Anschlag.;The police foiled the attack.
unterbinden;to prevent|to stop|to put a stop to;C2;Diese Praxis muss unterbunden werden.;This practice must be stopped.
ermächtigen;to authorize|to empower;C2;Ich ermächtige Sie, in meinem Namen zu handeln.;I authorize you to act on my behalf.
entkräften;to refute|to invalidate|to weaken;C2;Es gelang ihr, alle Vorwürfe zu entkräften.;She managed to refute all the accusations.
widerlegen;to refute|to disprove;C1;Die These wurde widerlegt.;The thesis was disproved.
untermauern;to underpin|to substantiate|to back up;C2;Er untermauerte seine These mit Zahlen.;He backed up his thesis with figures.
belegen;to prove|to document|to occupy|to take;C1;Studien belegen den Zusammenhang.;Studies prove the connection.
ableiten;to derive|to deduce;C1;Daraus lässt sich eine Regel ableiten.;A rule can be derived from this.
hinterfragen;to question|to scrutinize;C1;Man sollte Autoritäten hinterfragen.;One should question authorities.
abwägen;to weigh up|to weigh;C1;Wir müssen die Risiken sorgfältig abwägen.;We have to weigh up the risks carefully.
einräumen;to concede|to admit|to grant;C2;Der Minister räumte Fehler ein.;The minister admitted mistakes.
beteuern;to assert|to protest|to affirm;C2;Er beteuerte seine Unschuld.;He protested his innocence.
erwägen;to consider|to contemplate;C1;Wir erwägen einen Umzug.;We are considering moving.
beharren;to insist|to persist;C2;Sie beharrte auf ihrer Meinung.;She insisted on her opinion.
nachgeben;to give in|to yield|to give way;C1;Nach langem Streit gab er nach.;After a long argument he gave in.
sich anmaßen;to presume|to arrogate;C2;Er maßt sich an, über mich zu urteilen.;He presumes to judge me.
sich erübrigen;to be unnecessary|to be superfluous;C2;Damit erübrigt sich jede weitere Diskussion.;That makes any further discussion unnecessary.
sich bewähren;to prove oneself|to prove its worth|to stand the test;C2;Die Methode hat sich bewährt.;The method has proven its worth.
sich verzetteln;to spread oneself too thin|to get bogged down;C2;Verzettel dich nicht mit Details!;Don't get bogged down in details!
sich behaupten;to assert oneself|to hold one's own;C2;Sie konnte sich gegen die Konkurrenz behaupten.;She was able to hold her own against the competition.
schwelgen;to indulge|to wallow|to revel;C2;Sie schwelgten in Erinnerungen.;They wallowed in memories.
schmollen;to sulk|to pout;C2;Hör auf zu schmollen!;Stop sulking!
nörgeln;to nag|to grumble|to carp;C2;Er nörgelt ständig am Essen herum.;He constantly grumbles about the food.
prahlen;to boast|to brag;C1;Er prahlt mit seinem neuen Auto.;He brags about his new car.
schmeicheln;to flatter;C1;Das Kompliment schmeichelte ihr.;The compliment flattered her.
heucheln;to feign|to be hypocritical|to pretend;C2;Er heuchelte Interesse.;He feigned interest.
verleumden;to slander|to defame|to libel;C2;Sie wurde öffentlich verleumdet.;She was publicly slandered.
zaudern;to hesitate|to dither|to vacillate;C2;Er zauderte zu lange.;He hesitated too long.
trödeln;to dawdle|to dilly-dally;C2;Trödel nicht, wir sind spät dran!;Don't dawdle, we're late!
vergeuden;to waste|to squander;C1;Vergeude nicht deine Zeit.;Don't waste your time.
verprassen;to squander|to blow;C2;Er verprasste sein ganzes Erbe.;He squandered his entire inheritance.
ergattern;to get hold of|to snag|to manage to get;C2;Ich habe noch zwei Karten ergattert.;I managed to snag two more tickets.
erschleichen;to obtain by fraud|to wangle;C2;Er hat sich das Vertrauen erschlichen.;He wormed his way into their trust.
anzetteln;to instigate|to foment|to stir up;C2;Wer hat den Streit angezettelt?;Who started the fight?
aushecken;to hatch|to cook up|to devise;C2;Was heckt ihr da wieder aus?;What are you cooking up now?
bezwecken;to aim at|to intend|to aim to achieve;C2;Was bezweckst du damit?;What are you trying to achieve with that?
bewerkstelligen;to accomplish|to manage|to bring about;C2;Wie sollen wir das bewerkstelligen?;How are we supposed to manage that?
veranlassen;to cause|to arrange|to prompt|to induce;C1;Was hat Sie dazu veranlasst?;What prompted you to do that?
verhängen;to impose;C2;Die EU verhängte Sanktionen.;The EU imposed sanctions.
ahnden;to punish|to penalize;C2;Verstöße werden streng geahndet.;Violations are severely punished.
verjähren;to become statute-barred|to lapse|to expire;C2;Mord verjährt nicht.;There is no statute of limitations for murder.
anfechten;to contest|to challenge;C2;Er will das Testament anfechten.;He wants to contest the will.
verfügen über;to have at one's disposal|to have|to possess;C1;Sie verfügt über langjährige Erfahrung.;She has many years of experience.
fördern;to promote|to support|to foster|to sponsor;B2;Die Stiftung fördert junge Talente.;The foundation supports young talents.
verkörpern;to embody|to personify;C2;Er verkörpert den typischen Bürokraten.;He embodies the typical bureaucrat.
wahrnehmen;to perceive|to notice|to take advantage of;C1;Sie nahm den Geruch kaum wahr.;She barely noticed the smell.
auslösen;to trigger|to cause|to set off;C1;Die Aussage löste eine Debatte aus.;The statement triggered a debate.
hervorrufen;to cause|to evoke|to provoke;C1;Die Nachricht rief Empörung hervor.;The news provoked outrage.
begünstigen;to favor|to promote|to benefit;C1;Das Klima begünstigt den Weinbau.;The climate favours wine growing.
verdrängen;to displace|to repress|to supplant|to suppress;C1;Er hat die Erinnerung verdrängt.;He has repressed the memory.
unterstellen;to insinuate|to imply|to assume|to accuse;C2;Willst du mir Absicht unterstellen?;Are you accusing me of doing it on purpose?
zumuten;to expect of|to impose on;C2;Das kann man niemandem zumuten.;You can't expect that of anyone.
einbüßen;to lose|to forfeit;C2;Die Partei hat an Glaubwürdigkeit eingebüßt.;The party has lost credibility.
verkraften;to cope with|to handle|to get over;C1;Diesen Verlust hat sie nie verkraftet.;She never got over this loss.
bewahren;to preserve|to keep|to protect;C1;Bewahren Sie Ruhe!;Stay calm!
entfalten;to unfold|to develop;C1;Hier kann sie ihr Talent voll entfalten.;Here she can fully develop her talent.
gedeihen;to thrive|to flourish|to prosper;C2;Die Pflanzen gedeihen prächtig.;The plants are thriving.
verkümmern;to waste away|to wither|to atrophy;C2;Ohne Übung verkümmert das Talent.;Without practice, talent withers.
schüren;to stoke|to fuel|to stir up;C2;Populisten schüren Ängste.;Populists stir up fears.
eindämmen;to contain|to curb|to stem;C1;Man versucht, die Seuche einzudämmen.;They are trying to contain the epidemic.
verabscheuen;to detest|to abhor|to loathe;C2;Ich verabscheue Gewalt.;I abhor violence.
vergöttern;to idolize|to worship|to adore;C2;Sie vergöttert ihren großen Bruder.;She idolizes her big brother.
beneiden;to envy;C1;Ich beneide dich um deine Geduld.;I envy you your patience.
erachten;to consider|to deem;C2;Ich erachte das für notwendig.;I consider that necessary.
anstreben;to strive for|to aim for|to aspire to;C1;Wir streben eine Einigung an.;We are aiming for an agreement.
verwirklichen;to realize|to implement|to achieve;C1;Er hat sich seinen Traum verwirklicht.;He has made his dream come true.
umsetzen;to implement|to put into practice;C1;Die Reform wurde nie umgesetzt.;The reform was never implemented.
ausloten;to sound out|to explore|to fathom;C2;Wir loten die Möglichkeiten aus.;We are exploring the possibilities.
ausschöpfen;to exhaust|to make full use of;C2;Alle Mittel wurden ausgeschöpft.;All means have been exhausted.
brüskieren;to snub|to affront;C2;Mit seiner Absage brüskierte er die Gastgeber.;By cancelling he snubbed the hosts.
kaschieren;to conceal|to hide|to cover up|to mask;C2;Das Kleid kaschiert kleine Problemzonen.;The dress hides small problem areas.
mogeln;to cheat|to fiddle;C2;Beim Kartenspielen mogelt er immer.;He always cheats at cards.
sich sträuben;to resist|to balk|to bristle;C2;Sie sträubte sich gegen den Plan.;She resisted the plan.
sich einbürgern;to become established|to catch on;C2;Dieser Begriff hat sich eingebürgert.;This term has become established.
sich aufdrängen;to impose oneself|to suggest itself|to force oneself on;C2;Der Verdacht drängt sich auf.;The suspicion suggests itself.
nachhaltig;sustainable|lasting;C1;Das hat mich nachhaltig beeindruckt.;That made a lasting impression on me.
ausschlaggebend;decisive|crucial;C1;Der Preis war ausschlaggebend.;The price was decisive.
unerlässlich;essential|indispensable|vital;C1;Eine gute Vorbereitung ist unerlässlich.;Good preparation is essential.
unabdingbar;indispensable|essential|imperative;C2;Vertrauen ist unabdingbar.;Trust is indispensable.
maßgeblich;decisive|significant|authoritative|considerable;C1;Sie war maßgeblich am Erfolg beteiligt.;She played a decisive part in the success.
erheblich;considerable|significant|substantial;C1;Es gibt erhebliche Unterschiede.;There are considerable differences.
beträchtlich;considerable|substantial;C1;Der Schaden ist beträchtlich.;The damage is considerable.
geringfügig;minor|slight|marginal;C1;Die Preise stiegen nur geringfügig.;Prices rose only slightly.
umstritten;controversial|disputed;C1;Die Reform ist umstritten.;The reform is controversial.
fragwürdig;questionable|dubious;C1;Seine Methoden sind fragwürdig.;His methods are questionable.
nachvollziehbar;understandable|comprehensible;C1;Ihre Entscheidung ist nachvollziehbar.;Your decision is understandable.
einleuchtend;plausible|convincing|obvious|clear;C2;Die Erklärung klingt einleuchtend.;The explanation sounds plausible.
stichhaltig;valid|sound|conclusive|watertight;C2;Haben Sie stichhaltige Beweise?;Do you have conclusive evidence?
schlüssig;conclusive|coherent|consistent|logical;C2;Die Argumentation ist schlüssig.;The argumentation is coherent.
widersprüchlich;contradictory|inconsistent;C1;Die Aussagen der Zeugen sind widersprüchlich.;The witnesses' statements are contradictory.
zwiespältig;ambivalent|mixed|conflicting;C2;Ich habe zwiespältige Gefühle.;I have mixed feelings.
vielschichtig;complex|multi-layered;C2;Das Problem ist vielschichtig.;The problem is complex.
facettenreich;multifaceted;C2;Sie ist eine facettenreiche Schauspielerin.;She is a multifaceted actress.
anspruchsvoll;demanding|sophisticated|challenging;B2;Der Job ist sehr anspruchsvoll.;The job is very demanding.
zeitgemäß;contemporary|up-to-date|modern;C1;Diese Regel ist nicht mehr zeitgemäß.;This rule is no longer up to date.
überholt;outdated|obsolete;C1;Diese Ansicht ist längst überholt.;This view is long outdated.
gängig;common|usual|current;C1;Das ist eine gängige Praxis.;That is common practice.
geläufig;familiar|common;C1;Der Begriff ist mir nicht geläufig.;I'm not familiar with the term.
beiläufig;casual|incidental|in passing|casually;C2;Sie erwähnte es nur beiläufig.;She only mentioned it in passing.
eigenwillig;idiosyncratic|headstrong|unconventional;C2;Er hat einen eigenwilligen Stil.;He has an idiosyncratic style.
eigensinnig;stubborn|obstinate|headstrong;C2;Das Kind ist sehr eigensinnig.;The child is very stubborn.
beharrlich;persistent|tenacious;C2;Er fragte beharrlich nach.;He persistently kept asking.
unverfroren;brazen|impudent|shameless;C2;Er log mir unverfroren ins Gesicht.;He brazenly lied to my face.
dreist;brazen|audacious|cheeky|impudent;C2;So eine dreiste Lüge!;Such a brazen lie!
gehässig;spiteful|malicious|hateful;C2;Das war eine gehässige Bemerkung.;That was a spiteful remark.
hämisch;malicious|gloating|sneering;C2;Er grinste hämisch.;He grinned maliciously.
